"|","|__id","|__Rates__|","|__Rates__|__startHour","|__Rates__|__endHour","|__Rates__|__pricePerHalfHour__001","|__Rates__|__pricePerHalfHour__002","|__Rates__|__pricePerHalfHour__003","|__Rates__|__pricePerHalfHour__004","|__Rates__|__pricePerHalfHour__005","|__Rates__|__pricePerHalfHour__006","|__Rates__|__pricePerHalfHour__007","|__Rates__|__pricePerHalfHour__008","|__Rates__|__pricePerHalfHour__009","|__GPS__Lat","|__GPS__Long"
"","","","17.00","23.59","2.50","0.00","","","","","","","","",""
"Singapore Expo","","Weekday","0.00","23.59","0.38","0.38","1.50","","","","","","","1.3335251","103.959537"
"","","Saturday","0.00","23.59","0.38","0.38","1.50","","","","","","","",""
"","","Sunday","0.00","23.59","0.38","0.38","1.50","","","","","","","",""
"Singapore Post Centre","","Weekday","7.00","17.00","0.80","0.80","1.00","","","","","","","1.3187079","103.8937623"
"","","","17.00","23.59","3.00","0.00","","","","","","","","",""
"","","","0.00","6.59","0.80","0.80","1.00","","","","","","","",""
"","","Saturday","7.00","13.00","0.80","0.80","1.00","","","","","","","",""
"","","","13.00","23.59","3.00","0.00","","","","","","","","",""
"","","","0.00","6.59","0.80","0.80","1.00","","","","","","","",""
"","","Sunday","7.00","23.59","3.00","0.00","","","","","","","","",""
"","","","0.00","6.59","0.80","0.80","0.50","","","","","","","",""
"Tampines 1","","Weekday","0.00","23.59","0.53","0.55","0.70","","","","","","","1.3542633","103.9450295"
"","","Saturday","0.00","23.00","0.64","0.60","0.70","","","","","","","",""
"","","Sunday","0.00","23.00","0.64","0.60","0.70","","","","","","","",""
"Tampines Junction","","Weekday","8.00","17.00","0.50","","","","","","","","","1.3523757","103.9418713"
"","","","17.00","7.59","2.00","0.00","","","","","","","","",""
"","","Saturday","0.00","14.00","0.50","","","","","","","","","",""
"","","Sunday","0.00","14.00","0.50","","","","","","","","","",""
"Tampines Mall","","Weekday","0.00","17.59","0.53","0.64","","","","","","","","1.352614","103.9446926"
"","","","18.00","2.59","2.14","0.00","","","","","","","","",""
"","","Saturday","3.00","17.59","1.07","0.64","","","","","","","","",""
"","","","18.00","2.59","2.14","0.00","","","","","","","","",""
"","","Sunday","3.00","17.59","1.07","0.64","","","","","","","","",""
"","","","18.00","2.59","2.14","0.00","","","","","","","","",""
"Tampines Plaza (Compaq Centre)","","Weekday","8.00","17.00","1.00","","","","","","","","","1.3527268","103.9429191"
"","","","17.00","7.59","2.00","","","","","","","","","",""
"","","Saturday","8.00","17.00","1.00","","","","","","","","","",""
"","","","17.00","7.59","2.00","","","","","","","","","",""
"","","Sunday","0.00","23.59","2.00","0.00","","","","","","","","",""
"Telepark","","Weekday","7.00","22.00","0.70","","","","","","","","","1.3534646","103.9420973"
"","","Saturday","7.00","22.00","0.70","","","","","","","","","",""
"","","Sunday","7.00","22.00","0.70","","","","","","","","","",""
"White Sands Shopping Centre","","Weekday","7.00","19.00","0.60","1.20","","","","","","","","1.3724701","103.9496179"
"","","","19.00","6.59","2.00","0.00","","","","","","","","",""
"","","Saturday","7.00","19.00","0.60","1.20","","","","","","","","",""
"","","","19.00","6.59","2.00","0.00","","","","","","","","",""
"","","Sunday","7.00","19.00","0.60","1.20","","","","","","","","",""
"","","","19.00","6.59","2.00","0.00","","","","","","","","",""
"Amara Hotel","","Weekday","8.00","17.00","2.00","","","","","","","","","1.2753354","103.8435764"
"","","","17.00","7.59","3.00","0.00","","","","","","","","",""
"","","Saturday","8.00","17.00","2.00","","","","","","","","","",""
"","","","17.00","7.59","3.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.00","0.00","","","","","","","","",""
"Berjaya Hotel","","Weekday","8.30","17.00","1.00","","","","","","","","","1.2781675","103.8438989"
"","","","17.00","22.00","0.50","","","","","","","","","",""
"","","","22.00","7.29","0.0","","","","","","","","","",""
"","","Saturday","8.30","17.00","1.00","","","","","","","","","",""
"","","","17.00","22.00","0.50","","","","","","","","","",""
"","","","23.00","7.29","0.0","","","","","","","","","",""
"","","Sunday","8.30","22.00","0.50","","","","","","","","","",""
"","","","22.00","7.29","0.00","","","","","","","","","",""
"Carlton Hotel","","Weekday","7.00","18.00","1.50","","","","","","","","","1.2959064","103.8525424"
"","","","18.00","6.59","6.00","0.00","","","","","","","","",""
"","","Saturday","7.00","18.00","1.50","","","","","","","","","",""
"","","","18.00","6.59","6.00","0.00","","","","","","","","",""
"","","Sunday","7.00","18.00","1.50","","","","","","","","","",""
"","","","18.00","6.59","6.00","0.00","","","","","","","","",""
"Concorde Hotel","22","Weekday","7.00","18.00","1.07","1.07","1.39","","","","","","","1.30103","103.84503"
"","","","18.00","6.59","3.75","0.00","","","","","","","","",""
"","","Saturday","7.00","18.00","1.07","1.07","1.39","","","","","","","",""
"","","","18.00","6.59","3.75","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.75","0.00","","","","","","","","",""
"Conrad Centennial Hotel","","Weekday","7.00","18.00","1.65","1.65","1.10","","","","","","","1.2934379","103.8587261"
"","","","18.00","6.59","1.65","1.65","1.10","","","","","","","",""
"","","Saturday","0.00","23.59","1.10","","","","","","","","","",""
"","","Sunday","0.00","23.59","1.10","","","","","","","","","",""
"Copthorne King's Hotel","","Weekday","7.00","12.00","1.50","","","","","","","","","1.2882482","103.8366477"
"","","","12.00","6.59","2.00","","","","","","","","","",""
"","","Saturday","7.00","12.00","1.50","","","","","","","","","",""
"","","","12.00","6.59","2.00","","","","","","","","","",""
"","","Sunday","7.00","12.00","1.50","","","","","","","","","",""
"","","","12.00","6.59","2.00","","","","","","","","","",""
"Copthorne Orchid Hotel","","Weekday","8.00","17.00","0.75","0.75","0.5","","","","","","","1.2810504","103.8498409"
"","","","17.00","7.59","3.00","0.00","","","","","","","","",""
"","","Saturday","8.00","17.00","0.75","0.75","0.5","","","","","","","",""
"","","","17.00","7.59","3.00","0.00","","","","","","","","",""
"","","Sunday","8.00","17.00","0.75","0.75","0.5","","","","","","","",""
"","","","17.00","7.59","3.00","0.00","","","","","","","","",""
"Elizabeth Hotel","","Weekday","7.00","17.00","1.50","","","","","","","","","1.3082343","103.8356792"
"","","","17.00","6.59","4.00","0.00","","","","","","","","",""
